person_id,rankings
a82ebff9-a0df-4302-ae08-4f9c487ac68c,10
bb81ebd0-558a-4cfd-a358-6f1abd43608b,40
dad18735-dd30-465b-b835-27a4c7674a78,40
d622d22e-36bf-4435-8b1d-467398e92207,60
f2486ffb-b595-4d49-828d-3c495bf9ca9f,46
f3d32ca2-4d46-47c0-a0ec-d192d70f73ec,40
33658a08-24a9-4096-8685-9fa492f85ed6,40
c15b61eb-00e8-4744-938a-780c273c723b,40
d2854dd8-510e-4a50-903b-4bf97dc3be5b,23
a61ee3de-16ab-491b-bfa6-b2664098f4ab,40
b021ae58-b001-4dc2-a55e-b1d19be16ac5,40
40605206-0c73-4782-a750-9a753dc0d53b,40
1c1af7ba-8c6b-4574-a4f5-721e84540dcd,40
96122abd-bf22-44ef-a4cc-bb208b31de07,40
99d22925-7df6-4aca-8dad-69bf6b6e1841,40
99c234be-5a7e-4585-b8ff-fd1e1a534b40,43
da0acffe-d0ea-4bfe-af75-b56dd9e01ec8,40
dc5faa32-f5da-486f-a18a-39f3153f180c,40
13da1704-6fe0-40a9-af0c-4dc7f2d79a15,40
41e0d808-5a0f-493e-8397-5f4c125a13b7,40
7ed507b6-ae7f-45cb-a303-41a4935c3cdc,40
dd1d9ec5-0226-4842-9e46-540ba7eaa316,40
bbc58faa-734d-4048-bcf6-4c34a37058b1,40
00bc8801-893a-48d2-bfde-4f14e54086a8,40
e1a5da24-a02a-49e2-b603-412ca2fe59e6,20
e25bc79d-455a-42f2-86d8-4f81dfc748da,40
6c4f351e-6434-401f-8ab2-8dc486ec4062,41
08f6862f-093a-4e13-946f-bc853c29bbf1,40
8cd7f25d-b599-448b-9e68-b7624c254cd8,50
5e126e18-86c9-4d03-ae0d-6cf7bd977f91,4
36caf406-f43a-432d-be68-9c5a9baed9ce,40
7560ac59-c97b-4d11-ae1e-1d5a52617c01,40
92e80917-5426-4d8a-89a7-955dc71fbe5e,40
4c06448a-f7c9-4e2f-b004-ab19a3cf4764,40
b74f28ec-7704-44e7-b866-dc5cebf04079,40
c9e68693-04f9-41c2-badd-1a6a9de6ce6a,30
d4f0ed90-07a4-4dd8-bdce-a0c44f1cba0a,40
d8697562-839a-4c22-8b60-f2fd1aa6df73,40
373c9903-7962-4d70-a1fc-8726acfa7596,40
93500890-da41-497d-931e-6b5133519e5b,40
9d9382bd-fc2c-4ccc-a01d-74f84dc7341c,0
95a9ba60-223a-4aa2-ac2f-e611593372f4,0
2d69f706-1f9d-4205-8901-061b3ed936e6,10
7e4e1b02-27fe-49b5-971d-8277b1c87f27,40
6dbf88c5-8454-42cb-a90d-e57342ef3ec6,29
b360a97a-2003-48f9-a63a-d497f17a268d,23
8a4f8895-28aa-45f5-acfb-e9ab3c9009bf,40
2c797b54-c6dc-4ed1-9d0c-37de32aa2830,140
f22f81b9-1e4e-4afa-8700-de09e6ff4002,47
b442ac7a-11b4-4a33-ab36-db885ccf0e52,40
780251cd-98cb-4553-bc9e-423a1c7c0d0e,40
225166cf-55cb-4129-ba54-0f4dd88897f0,40
ec5d9f84-665f-49cd-b8a9-b681545228c6,40
a110a29a-1dea-458f-a562-6b55946d93b8,40
1018cd88-4947-4196-9b2e-d8c9203a6ec5,41
92d030d0-1f86-4a8e-8175-af2134a791b3,40
33cb0182-aed1-4a6d-bbbf-9a60ec58dd25,40
8b40d74f-8862-4394-979c-cc236370d035,40
503b81a7-1913-43cc-a072-aae6e5b1f2c4,154
613c7188-a1fd-4b68-966f-2aa2af111436,40
b9e6b5b9-9205-4c56-9a56-eb297769d28a,87
fdd458ee-21c7-41d4-891f-8b4f72e99208,40
02893c69-0bbb-4ea0-92d8-454ebe58c3a9,40
8dc0908e-5d04-437d-9aa3-aacff30d1006,27
8ff30226-e36f-4cb1-b2d6-ed222fd70bdd,40
014a5073-aa38-4500-a2e4-363349d18b60,40
ce5465c2-0e39-46ab-9483-9366d7a21aca,30
36d0ae43-b73a-4925-836d-7efdc999a7d8,29
c6df1e8b-a518-4595-bcd5-9b7e99ea2789,40
81db9b58-d547-44ec-94df-0020037c8caf,40
01ef1866-0154-4a79-82a9-5f393102236a,49
e4d6a214-b620-4ef9-8c99-1ecda3ac0204,40
23b0f6db-b5bb-44a9-aa6f-4a079be4e9df,40
06ae74c4-c62a-4ac6-b96b-dfb5d5cddd54,40
81a0ea28-ddfc-4a7c-ad57-f3e8ddc246da,40
c25c154c-2ac2-4867-88d1-4d161389759c,140
ab08b5ad-ab89-4877-8e66-2da52e7d551b,40
742b6286-2d72-45fd-a045-8b70ae23a10e,40
872c9172-a874-4aa9-9342-a441aa2f06e2,40
9a42fcf2-1b5a-42c0-a543-2b909b0d8107,40
4bd355d8-7111-407a-8c2f-7f9228225de8,101
4b87d698-09d1-46b4-a1c3-f0fa4a33635e,40
9e00fafe-b9f3-4eed-9742-5ce459e88007,31
da18de85-a258-4dc4-9c63-a0f8d7a27ab4,40
b1ff754d-8dfd-40aa-9cf1-6e3d3dd0077d,40
7a170edf-deac-4be6-93cd-e7cfeac75d8b,40
b58ebc75-5117-45ee-a4e8-f58314ed6f17,90
e3db8fe7-6a05-4b6a-a312-05f540515ff0,40
de102155-034e-44ad-9481-e51bccde5e21,40
b330f683-265f-40cf-bd2f-e853a8fb5602,40
48db76fd-6035-4ac7-a428-8437fb1b6c5e,161
4ab87511-13f8-479b-91b6-abd4f69e2456,30
c7c794b3-85ff-407c-ab83-48102a304818,216
f548b0e3-798b-48f5-9f21-750040fbb41b,40
56b8622f-45ae-47ce-afe8-416576b6ea6f,100
248c87c0-5fd0-403f-94a2-8f4f890f775d,4
dd2ec496-13ff-4d35-b1fb-b8324eb13f17,40
1b86f3b4-893d-4f7c-88bd-f8b3cf5e362e,40
ca7395d7-546a-4da7-bf0c-504a1e3a269c,29
6355680b-770f-45f5-a3c9-ba4d0341dcaf,40
e88feefe-bb3e-4d21-bc11-f7724b70cb11,40
f55e738e-697a-407f-b344-d21b68c31212,40
303909af-9ab8-4999-ab15-fe7b08bcbd10,125
92cd2ae0-a6e3-473c-bfd0-311efea51619,100
2e48a0f1-908b-4111-b8ed-857903b260a3,121
a08c64d9-f452-4d5f-9080-7a644172249d,162
7bebab6f-f360-4cad-91a3-9c36c070c9d4,70
3369eb5c-d9ea-46ce-9acd-70190f816b83,40
d1e081d4-0248-4684-b663-1aaa64047740,17
34d93c37-dd72-43f1-be30-ca86bdeb35bd,46
3d76aefb-295b-4b7f-883b-2635152693d6,40
20afa786-eb3e-4d9c-b4c0-1dc612f39335,40
deec663e-a9d3-4476-856f-ba5210729a7a,40
