demographic,demographic_value
global,global
gender,man
gender,woman
gender,other
age,younger
age,middle
age,older
ethnicity,white
ethnicity,other
education,sixteen
education,eighteen
education,older
income,lower
income,middle
income,higher
movement,yes
movement,no
dog,yes
dog,no
children,yes
children,no
garden,yes
garden,no
